                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2193,                  4.254,                0.89819,                0.78327,                0.91635,                  0.796,                0.50763,                 1.1342,                 2.6064,                0.74626,                  6e-05,                  6e-05,                  6e-05
                      2,                0.77778,                 1.6518,                0.82793,                 0.9726,                   0.75,                  0.945,                0.79067,                0.69572,                 1.8928,                0.76428,             0.00013861,             0.00013861,             0.00013861
                      3,                0.78892,                 1.2902,                0.85365,                0.97328,                      1,                  0.995,                0.61572,                 1.1301,                 1.9405,                0.85919,             0.00021564,             0.00021564,             0.00021564
                      4,                0.76733,                0.89962,                 0.8063,                0.98491,                      1,                  0.995,                0.83734,                 0.6221,                 1.2824,                0.81559,             0.00029109,             0.00029109,             0.00029109
                      5,                0.73404,                0.68807,                0.81309,                0.98988,                      1,                  0.995,                0.82063,                0.85504,                 1.0053,                0.88249,             0.00036495,             0.00036495,             0.00036495
                      6,                0.74036,                0.66739,                0.83996,                 0.9874,                      1,                  0.995,                0.77726,                0.83795,                0.81106,                0.87384,             0.00043723,             0.00043723,             0.00043723
                      7,                  0.687,                0.64993,                0.83683,                0.97511,                      1,                  0.995,                 0.8208,                0.70738,                0.88212,                0.85909,             0.00050792,             0.00050792,             0.00050792
                      8,                0.66534,                0.52394,                 0.8216,                0.72183,                      1,                  0.995,                0.84576,                0.65585,                 1.8712,                0.88777,             0.00057703,             0.00057703,             0.00057703
                      9,                0.63981,                0.51542,                0.84294,                0.95245,                      1,                  0.995,                 0.8703,                0.66677,                  1.254,                0.87341,             0.00064456,             0.00064456,             0.00064456
                     10,                0.68942,                0.47267,                0.82165,                0.98766,                      1,                  0.995,                0.84567,                0.59316,                0.74564,                   0.85,              0.0007105,              0.0007105,              0.0007105
                     11,                0.73095,                0.47358,                0.83123,                0.98083,                      1,                  0.995,                0.75205,                0.86011,                 1.0142,                 0.9429,             0.00077486,             0.00077486,             0.00077486
                     12,                0.68051,                 0.4689,                0.82868,                0.98844,                      1,                  0.995,                0.92013,                0.53214,                0.52392,                0.85402,             0.00083763,             0.00083763,             0.00083763
                     13,                0.68625,                  0.479,                0.84725,                0.98696,                      1,                  0.995,                0.87063,                 0.6139,                0.59766,                0.87583,             0.00089882,             0.00089882,             0.00089882
                     14,                0.64943,                0.48264,                0.84998,                0.98876,                      1,                  0.995,                0.83734,                0.60719,                0.58506,                0.86238,             0.00095843,             0.00095843,             0.00095843
                     15,                0.64157,                0.47394,                0.81015,                0.98745,                      1,                  0.995,                0.85813,                0.69527,                0.62374,                0.89213,              0.0010165,              0.0010165,              0.0010165
                     16,                0.63628,                 0.4105,                0.80094,                0.98256,                      1,                  0.995,                0.87065,                  0.663,                0.64876,                0.90359,              0.0010729,              0.0010729,              0.0010729
                     17,                0.63364,                 0.4218,                0.83393,                0.98271,                      1,                  0.995,                0.90387,                0.51449,                0.44851,                 0.8647,              0.0011277,              0.0011277,              0.0011277
                     18,                0.63071,                0.42428,                0.84233,                0.98584,                      1,                  0.995,                0.86476,                0.64287,                0.48402,                0.85957,               0.001181,               0.001181,               0.001181
                     19,                0.61171,                0.43464,                0.80983,                0.98625,                      1,                  0.995,                0.82096,                0.70802,                 0.5929,                0.88411,              0.0012327,              0.0012327,              0.0012327
                     20,                0.64663,                0.45523,                0.81229,                0.98246,                      1,                  0.995,                0.79674,                0.73358,                0.55925,                0.90031,              0.0012828,              0.0012828,              0.0012828
                     21,                0.63428,                 0.4654,                0.80534,                0.98253,                      1,                  0.995,                0.82092,                0.66709,                  1.056,                 0.9115,              0.0013313,              0.0013313,              0.0013313
                     22,                0.59707,                0.42848,                0.82349,                0.98567,                      1,                  0.995,                0.84577,                0.77601,                0.66546,                0.93319,              0.0013783,              0.0013783,              0.0013783
                     23,                0.64028,                0.43435,                0.81807,                0.98915,                      1,                  0.995,                0.84578,                0.70253,                0.50956,                0.90256,              0.0014236,              0.0014236,              0.0014236
                     24,                0.56828,                0.42419,                0.80926,                0.98928,                      1,                  0.995,                0.85837,                0.61664,                0.54222,                0.87403,              0.0014674,              0.0014674,              0.0014674
                     25,                0.57517,                0.45432,                0.80748,                0.99142,                      1,                  0.995,                0.86551,                0.57349,                0.50718,                0.87846,              0.0015096,              0.0015096,              0.0015096
                     26,                0.53973,                0.36794,                0.82019,                0.99156,                      1,                  0.995,                0.89517,                0.56714,                0.47041,                0.87535,               0.001505,               0.001505,               0.001505
                     27,                0.56662,                 0.4203,                0.83083,                0.98995,                      1,                  0.995,                0.86196,                 0.5875,                 0.5557,                0.87746,              0.0014852,              0.0014852,              0.0014852
                     28,                0.61373,                0.41267,                0.80841,                0.98773,                      1,                  0.995,                0.92052,                0.50608,                0.48254,                0.88179,              0.0014654,              0.0014654,              0.0014654
                     29,                0.59636,                0.38627,                0.81936,                      1,                0.99818,                  0.995,                0.84552,                0.54911,                0.43166,                0.91336,              0.0014456,              0.0014456,              0.0014456
                     30,                0.57466,                0.39472,                0.81307,                      1,                0.98962,                  0.995,                0.79593,                0.66667,                0.46978,                0.91795,              0.0014258,              0.0014258,              0.0014258
                     31,                0.57336,                0.36297,                0.79726,                0.99444,                      1,                  0.995,                0.84587,                0.71752,                0.49607,                 0.9457,               0.001406,               0.001406,               0.001406
                     32,                0.57165,                0.37394,                0.80816,                0.99042,                      1,                  0.995,                 0.8955,                0.64841,                 0.4836,                0.91848,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.5412,                0.35885,                0.80164,                0.98952,                      1,                  0.995,                 0.8926,                0.44005,                0.32001,                0.83734,              0.0013664,              0.0013664,              0.0013664
                     34,                0.53124,                0.35547,                0.80624,                0.98907,                      1,                  0.995,                0.95057,                 0.4483,                0.35255,                0.82949,              0.0013466,              0.0013466,              0.0013466
                     35,                0.54977,                 0.3538,                0.81902,                0.98946,                      1,                  0.995,                0.92818,                 0.4005,                0.29628,                0.82983,              0.0013268,              0.0013268,              0.0013268
                     36,                0.55704,                0.35615,                0.80031,                0.98962,                      1,                  0.995,                0.91092,                0.42973,                0.26469,                0.84602,               0.001307,               0.001307,               0.001307
                     37,                0.53065,                0.34428,                0.81531,                 0.9896,                      1,                  0.995,                0.90683,                0.37341,                0.27045,                0.84309,              0.0012872,              0.0012872,              0.0012872
                     38,                0.50639,                0.33283,                0.77241,                0.98945,                      1,                  0.995,                 0.8955,                 0.5014,                0.35366,                0.85518,              0.0012674,              0.0012674,              0.0012674
